asr,diar,oracle,clip_id,cp_errors,cp_len,di_errors,di_len,wer_errors,wer_len,wder_errors,wder_len,ref_words,hyp_words,ref_spk,hyp_spk
indicconformer,pyannote31+llm,False,L7xRazDdtgw__000019000_000083000,103,102,102,102,102,102,14,21,102,21,3,4
indicconformer,pyannote31+llm,False,LBIWBxQ5H1s__000090000_001020000,2018,2452,2018,2452,2007,2452,103,888,2452,896,4,4
indicconformer,pyannote31+llm,False,LK23jX9tgZM__000059000_000221000,469,548,469,548,469,548,1,90,548,90,3,2
indicconformer,pyannote31+llm,False,LctYmmr9-Vg__000000000_000061000,111,139,111,139,109,139,6,54,139,54,2,2
indicconformer,pyannote31+llm,False,LqQHdo7t5Ps__000198000_000498000,347,692,347,692,337,692,34,470,692,476,3,3
indicconformer,pyannote31+llm,False,Md3p6RTanBg__000315000_000426000,197,298,197,298,190,298,8,145,298,147,3,3
indicconformer,pyannote31+llm,False,MmtWBUK2DKE__000000000_000310000,1084,1083,1084,1083,1083,1083,530,643,1083,643,5,4
indicconformer,pyannote31+llm,False,NLgHpYyf5bY__000313000_000383000,240,240,240,240,240,240,62,192,240,192,2,2
indicconformer,pyannote31+llm,False,NuhdqCEuIBo__000197000_000540000,993,1369,993,1369,989,1369,40,503,1369,504,3,3
indicconformer,pyannote31+llm,False,O4_aeGFzZ8A__000000000_000335000,433,702,433,702,433,702,6,454,702,459,8,8
indicconformer,pyannote31+llm,False,OXUt5KnlUMo__000091000_000181000,187,248,187,248,186,248,9,113,248,115,2,2
indicconformer,pyannote31+llm,False,OxYCBQKZ3iY__000000000_001822000,5525,5525,5525,5525,5525,5525,1087,1338,5525,1338,7,6
indicconformer,pyannote31+llm,False,PCUA2q2C-2A__000045000_000107000,77,154,77,154,46,154,18,144,154,151,3,2
indicconformer,pyannote31+llm,False,PEDfT9-Yf2o__000000000_000469000,430,1051,430,1051,407,1051,18,768,1051,781,3,3
