clip_id,system,hyp_missing,der,miss,false_alarm,confusion,jer,ref_speech_sec,err_miss_sec,err_fa_sec,err_conf_sec,n_ref_speakers,n_hyp_speakers,spk_count_correct,spk_count_err,duration,overlap_frac_of_speech,language
Cku_X_SL7qU__000060000_000660000,ic_lid_fallback__sortformer_stream,False,0.6619794919317474,0.15904832893490972,0.3696891557041843,0.1332420072926534,0.5175949812609552,496.38999999999953,78.94999999999976,183.50999999999988,66.14000000000016,3,4,0,1,600.0,0.1022,Gujarati
DPmew0didIM__000191000_000512000,ic_lid_fallback__sortformer_stream,False,0.4722290263319045,0.0997244335578687,0.08894672382118822,0.2835578689528475,0.6403724704329234,326.5999999999999,32.56999999999991,29.050000000000065,92.60999999999997,5,4,0,-1,321.0,0.062,Telugu
EmsKkNN2Me4__000035000_000095000,ic_lid_fallback__sortformer_stream,False,0.4705785396406786,0.04961265864512951,0.09906049118180278,0.32190538981374633,0.5667085733536638,60.669999999999995,3.010000000000007,6.009999999999974,19.529999999999987,2,2,1,0,60.0,0.0471,Malayalam
ExGJodnzocM__000212000_000527000,ic_lid_fallback__sortformer_stream,False,0.4226075164664852,0.03106031254035894,0.0346764819837268,0.3568707219423995,0.5824671141163688,309.72,9.619999999999973,10.739999999999867,110.52999999999997,4,4,1,0,315.0,0.0133,Devanagari (hi/mr)
F2uXav-wriA__000000000_000907000,ic_lid_fallback__sortformer_stream,False,0.4010493110473392,0.05730684133277752,0.013954303489671012,0.32978816622489066,0.5150133826376416,912.9799999999991,52.31999999999917,12.739999999999828,301.0900000000004,4,4,1,0,907.0,0.0336,Devanagari (hi/mr)
FDMf9ApmoNU__000016000_000686000,ic_lid_fallback__sortformer_stream,False,0.40393955747436494,0.13750357131519653,0.11294879527634047,0.15348719088282792,0.5377611727978352,630.0199999999985,86.62999999999991,71.15999999999985,96.69999999999902,4,4,1,0,670.0,0.0882,Bengali
G6qzg93FxwE__000021000_000116000,ic_lid_fallback__sortformer_stream,False,0.06664516822530357,0.03912716328066212,0.021175964742556144,0.006342040202085309,0.07804854703454309,93.03,3.639999999999997,1.969999999999998,0.5899999999999963,2,3,0,1,95.0,0.0061,Gujarati
GEc_sS2KWo8__000096000_000290000,ic_lid_fallback__sortformer_stream,False,0.4326071024052235,0.12159371044040244,0.10227197015124267,0.2087414218135783,0.6505817364941344,150.08999999999997,18.25,15.35000000000001,31.329999999999963,4,3,0,-1,194.0,0.0378,Gujarati
GfFLEIAAumk__000090000_000163000,ic_lid_fallback__sortformer_stream,False,0.19160211985324085,0.04402772115776607,0.04035874439461877,0.107215654300856,0.264371017015485,73.59,3.240000000000005,2.9699999999999953,7.8899999999999935,2,2,1,0,73.0,0.0285,Bengali
Gq45evw6ytY__000597000_001464000,ic_lid_fallback__sortformer_stream,False,0.5931828691954558,0.10804317666565191,0.08666914808423208,0.39847054444557184,0.708189221105127,886.5899999999982,95.79000000000013,76.83999999999916,353.27999999999884,3,4,0,1,867.0,0.0869,Odia
HZv_WvIr6lE__000021000_000105000,ic_lid_fallback__sortformer_stream,False,0.2412485098081714,0.11054513926519997,0.05202124200715269,0.07868212853581873,0.27128418923387093,92.27000000000001,10.200000000000003,4.799999999999979,7.259999999999995,3,3,1,0,84.0,0.1276,Tamil
HpYG46tGyYs__000103000_000998000,ic_lid_fallback__sortformer_stream,False,0.21804860490229092,0.024999129152491233,0.04080210861210118,0.1522473671376985,0.2892150015760006,861.2299999999998,21.53000000000002,35.13999999999989,131.12000000000006,4,4,1,0,895.0,0.0022,Devanagari (hi/mr)
IAm1rt-MYcA__000004000_000558000,ic_lid_fallback__sortformer_stream,False,0.45798792533648447,0.0836548935620256,0.10691800675738058,0.26741502501707826,0.6290525978261198,541.6299999999995,45.30999999999989,57.91,144.83999999999997,4,4,1,0,554.0,0.0445,Bengali
Iare1Emeueg__000016000_000069000,ic_lid_fallback__sortformer_stream,False,0.48520573277854856,0.2454923717059641,0.16458622283865024,0.07512713823393419,0.47826339723839795,43.25999999999999,10.620000000000005,7.120000000000008,3.249999999999992,2,2,1,0,53.0,0.0,Devanagari (hi/mr)
IfTL8SSN270__000062000_000671000,ic_lid_fallback__sortformer_stream,False,0.44613322085982005,0.10979724640737433,0.05126080800168727,0.2850751664507584,0.5413884161176081,663.8599999999994,72.88999999999946,34.030000000000086,189.25000000000034,4,4,1,0,609.0,0.1121,Devanagari (hi/mr)
Ig6szCD8m20__000046000_000106000,ic_lid_fallback__sortformer_stream,False,0.26015441423296426,0.02148371936891574,0.06461899966431724,0.1740516951997313,0.3397760347640376,59.57999999999998,1.2799999999999994,3.850000000000019,10.369999999999987,2,2,1,0,60.0,0.0204,Devanagari (hi/mr)
Iqhnt8ENm3U__000027000_000088000,ic_lid_fallback__sortformer_stream,False,0.5652043269230768,0.17893629807692296,0.09179687499999997,0.29447115384615385,0.6362920501309681,66.55999999999997,11.909999999999988,6.109999999999996,19.599999999999994,3,3,1,0,61.0,0.1772,Devanagari (hi/mr)
J4-VpEkBzWw__000000000_000600000,ic_lid_fallback__sortformer_stream,False,0.5601766712249102,0.03685889879127949,0.023435658037440937,0.4998821143961898,0.7345271857839017,636.2099999999987,23.449999999999875,14.910000000000267,318.02999999999923,7,4,0,-3,600.0,0.0685,Kannada
JBYGLQJwFDc__000103000_000407000,ic_lid_fallback__sortformer_stream,False,0.4405095345892642,0.1393546406783563,0.11909603652687736,0.1820588573840305,0.6587860477968376,260.62999999999994,36.31999999999999,31.04000000000004,47.449999999999854,3,2,0,-1,304.0,0.012,Tamil
JSB1CeS4pP8__000000000_000632000,ic_lid_fallback__sortformer_stream,False,0.2719220277684111,0.049790051184600816,0.04833420173475904,0.17379777484905123,0.36245584561492006,652.5399999999986,32.48999999999935,31.539999999999594,113.40999999999964,4,4,1,0,632.0,0.088,Punjabi
Jc5AVwg2cZM__000153000_000214000,ic_lid_fallback__sortformer_stream,False,0.8599457648747805,0.3035571861540914,0.25745732971765806,0.2989312490030309,0.7224607343102969,62.69,19.029999999999987,16.139999999999983,18.74000000000001,3,4,0,1,61.0,0.2816,Devanagari (hi/mr)
KAtdcDieQMw__000057000_000599000,ic_lid_fallback__sortformer_stream,False,0.6188323852406881,0.06016807878048252,0.055699726743086465,0.502964579717119,0.7408734007838301,581.8699999999991,35.00999999999931,32.40999999999967,292.6599999999996,3,4,0,1,542.0,0.1073,Odia
KPkRi3GM7fs__000047000_000642000,ic_lid_fallback__sortformer_stream,False,0.4057411128819902,0.017323816783313784,0.027302335250502362,0.36111496084817407,0.5875129210836301,577.24,10.00000000000005,15.759999999999984,208.45,3,2,0,-1,595.0,0.0031,Odia
Kdi-ECuOaKg__000002000_000078000,ic_lid_fallback__sortformer_stream,False,0.9355663513167992,0.3807210432114551,0.24776272053183354,0.3070825875735106,0.9001590809302461,39.11,14.89000000000001,9.69000000000001,12.009999999999998,6,3,0,-3,76.0,0.0,Malayalam
L7xRazDdtgw__000019000_000083000,ic_lid_fallback__sortformer_stream,False,0.8474337942348251,0.24630888211858448,0.18912584954300427,0.4119990625732364,0.8338517685402135,42.66999999999999,10.509999999999996,8.06999999999999,17.57999999999999,3,3,1,0,64.0,0.0012,Gujarati
LBIWBxQ5H1s__000090000_001020000,ic_lid_fallback__sortformer_stream,False,0.4884453453921715,0.10069130412183545,0.07254015281459522,0.31521388845574083,0.5876324632050239,961.9499999999986,96.85999999999947,69.77999999999977,303.21999999999946,4,4,1,0,930.0,0.0724,Malayalam
LK23jX9tgZM__000059000_000221000,ic_lid_fallback__sortformer_stream,False,0.48170493268532466,0.19848053181386519,0.06094631584827652,0.22227808502318297,0.6375322088346168,179.01000000000005,35.530000000000015,10.909999999999982,39.78999999999999,3,4,0,1,162.0,0.1712,Gujarati
LctYmmr9-Vg__000000000_000061000,ic_lid_fallback__sortformer_stream,False,0.14817136886102367,0.09467084639498426,0.05350052246603942,0.0,0.1423354659975359,47.85000000000001,4.529999999999998,2.5599999999999867,0.0,2,2,1,0,61.0,0.0,Devanagari (hi/mr)
LqQHdo7t5Ps__000198000_000498000,ic_lid_fallback__sortformer_stream,False,0.15141504614651083,0.014201546163539193,0.023601130674658372,0.11361236930831325,0.2516316338915181,293.63000000000005,4.170000000000014,6.929999999999939,33.36000000000003,3,3,1,0,300.0,0.0019,Devanagari (hi/mr)
Md3p6RTanBg__000315000_000426000,ic_lid_fallback__sortformer_stream,False,0.0984808337749518,0.020049461225931955,0.01598657481010445,0.0624447977389154,0.15308839726771095,113.21999999999998,2.2700000000000156,1.8100000000000254,7.07,3,3,1,0,111.0,0.0528,Bengali
MmtWBUK2DKE__000000000_000310000,ic_lid_fallback__sortformer_stream,False,0.59067036372533,0.03510030990050585,0.019474800195726425,0.5360952536290976,0.8322187506623593,306.55000000000007,10.760000000000069,5.969999999999937,164.33999999999992,5,2,0,-3,310.0,0.0432,Devanagari (hi/mr)
NLgHpYyf5bY__000313000_000383000,ic_lid_fallback__sortformer_stream,False,0.1503846712149802,0.023515749745971697,0.031499491943678175,0.09536942952533031,0.2771133213381312,68.89,1.6199999999999901,2.1699999999999897,6.570000000000006,2,2,1,0,70.0,0.0097,Devanagari (hi/mr)
NuhdqCEuIBo__000197000_000540000,ic_lid_fallback__sortformer_stream,False,0.29290598531108414,0.05974055210062719,0.07108084531614964,0.16208458789430732,0.4551793511866737,355.36999999999915,21.229999999999833,25.260000000000037,57.59999999999985,3,4,0,1,343.0,0.0562,Punjabi
O4_aeGFzZ8A__000000000_000335000,ic_lid_fallback__sortformer_stream,False,0.4270978966663559,0.04110355112312407,0.017895423618230863,0.368098921925001,0.6973045776484739,321.87,13.229999999999944,5.759999999999968,118.48000000000006,8,4,0,-4,335.0,0.0004,Kannada
OXUt5KnlUMo__000091000_000181000,ic_lid_fallback__sortformer_stream,False,0.2642121106865809,0.06865809887692471,0.04202848211184436,0.15352552969781186,0.3797409161994947,86.37,5.929999999999987,3.6299999999999972,13.26000000000001,2,2,1,0,90.0,0.0,Odia
OxYCBQKZ3iY__000000000_001822000,ic_lid_fallback__sortformer_stream,False,0.6964255364039698,0.0917557010320744,0.04662802487296935,0.5580418104989261,0.8310316056997022,1706.2699999999893,156.5599999999966,79.56000000000091,952.1699999999967,7,4,0,-3,1822.0,0.0659,Punjabi
